iter,timesteps,episodes,elapsed_s,steps_per_s,avg_return,policy_loss,value_loss,entropy
1,8192,88,6.24,1313.84,-187.28,-0.0008,1667.8453,1.3819
2,16384,173,12.62,1297.88,-190.72,0.0008,1087.6150,1.3763
3,24576,259,18.99,1294.24,-198.37,0.0014,564.4403,1.3750
4,32768,344,26.08,1256.52,-194.84,0.0017,558.6240,1.3756
5,40960,432,32.41,1263.85,-162.37,-0.0005,388.0364,1.3669
6,49152,513,39.08,1257.82,-184.43,0.0006,433.0612,1.3623
7,57344,591,45.34,1264.71,-189.89,0.0015,627.7189,1.3609
8,65536,676,52.06,1258.80,-162.99,-0.0012,413.5238,1.3684
9,73728,762,58.75,1254.99,-167.49,0.0001,502.3007,1.3530
10,81920,846,65.04,1259.61,-141.89,-0.0003,367.4348,1.3700
11,90112,931,71.52,1259.87,-145.77,-0.0022,433.2293,1.3667
12,98304,1014,77.72,1264.85,-125.42,-0.0067,363.9349,1.3492
13,106496,1087,84.51,1260.19,-140.96,0.0037,227.5780,1.3523
14,114688,1162,91.51,1253.29,-174.23,0.0027,396.6778,1.3481
15,122880,1235,98.33,1249.69,-193.76,-0.0038,604.2217,1.3387
16,131072,1311,104.80,1250.64,-159.42,-0.0025,513.5527,1.3471
17,139264,1380,111.12,1253.30,-153.59,-0.0021,335.6906,1.3400
18,147456,1452,117.39,1256.17,-130.99,-0.0039,483.8181,1.3327
19,155648,1521,123.72,1258.07,-120.01,-0.0032,222.9236,1.3015
20,163840,1584,130.11,1259.20,-118.75,-0.0019,250.6997,1.2863
21,172032,1643,136.78,1257.75,-93.24,-0.0038,223.8402,1.2737
22,180224,1700,144.18,1250.00,-93.14,-0.0017,171.9867,1.2620
23,188416,1759,151.19,1246.19,-84.17,-0.0023,161.2414,1.2243
24,196608,1812,158.02,1244.17,-82.72,-0.0054,182.8127,1.2105
25,204800,1864,164.84,1242.40,-69.49,-0.0069,129.9754,1.1841
26,212992,1904,172.10,1237.63,-44.51,-0.0051,101.1996,1.1507
27,221184,1947,179.77,1230.37,-50.54,-0.0082,98.1749,1.1397
28,229376,1984,187.62,1222.53,-47.34,-0.0029,109.1008,1.1233
29,237568,2016,196.66,1208.02,-65.55,-0.0011,189.6851,1.0936
30,245760,2039,207.47,1184.56,-144.50,0.0012,195.7600,1.1435
31,253952,2060,217.67,1166.66,-185.00,0.0020,318.8588,1.1139
32,262144,2095,225.06,1164.76,-132.15,-0.0092,183.1709,1.1345
33,270336,2113,235.46,1148.13,-86.82,-0.0020,165.7557,1.1348
34,278528,2138,244.61,1138.68,-95.98,-0.0029,191.3422,1.1341
35,286720,2154,255.08,1124.05,-97.03,-0.0051,219.4565,1.1439
36,294912,2186,263.11,1120.85,-32.10,-0.0036,136.0220,1.1154
37,303104,2207,272.01,1114.31,-61.55,0.0031,175.6860,1.1082
38,311296,2221,282.69,1101.18,-87.27,-0.0025,182.5399,1.1263
39,319488,2228,294.83,1083.65,-96.39,-0.0022,127.0439,1.1492
40,327680,2238,306.00,1070.84,-61.99,0.0048,118.4087,1.1482
41,335872,2260,315.47,1064.68,-14.04,0.0014,106.2313,1.0938
42,344064,2285,324.66,1059.76,-15.96,-0.0013,86.3274,1.0564
43,352256,2309,333.09,1057.53,-33.39,-0.0031,112.6315,1.0110
44,360448,2326,342.13,1053.53,-59.17,-0.0017,105.7375,1.0390
45,368640,2343,352.52,1045.72,-64.63,-0.0019,106.8555,1.0471
46,376832,2357,362.36,1039.93,-28.78,-0.0005,102.2744,1.0396
47,385024,2359,376.06,1023.84,-19.51,-0.0033,90.0439,1.1600
48,393216,2366,388.07,1013.26,-30.67,0.0021,74.7762,1.1468
49,401408,2371,400.54,1002.16,6.80,-0.0036,95.0335,1.1221
50,409600,2382,411.20,996.11,-0.30,0.0009,97.5690,1.1133
51,417792,2398,421.23,991.83,-12.17,-0.0020,81.7458,1.0581
52,425984,2404,433.29,983.14,-45.08,-0.0029,95.7410,1.1352
53,434176,2411,444.38,977.04,26.67,-0.0006,85.6369,1.1337
54,442368,2422,454.70,972.87,3.92,-0.0022,83.7584,1.1403
55,450560,2450,462.34,974.52,3.44,0.0015,69.8961,0.9613
56,458752,2460,474.23,967.35,-19.90,0.0011,75.6258,1.1033
57,466944,2461,487.43,957.98,-50.54,-0.0031,72.5291,1.1906
58,475136,2463,500.61,949.12,-10.46,-0.0042,54.6100,1.1972
59,483328,2464,514.53,939.36,-69.45,-0.0026,40.7837,1.1954
60,491520,2471,524.83,936.53,14.37,0.0009,64.4508,1.1570
61,499712,2475,536.91,930.72,-13.28,-0.0026,55.4649,1.1829
62,507904,2481,547.75,927.26,27.29,-0.0003,70.4427,1.1174
63,516096,2483,559.95,921.69,113.24,-0.0031,47.9104,1.1865
64,524288,2490,570.85,918.43,34.11,0.0006,68.7654,1.1029
65,532480,2500,581.10,916.34,29.99,0.0006,68.8866,1.0554
66,540672,2510,590.74,915.24,52.36,-0.0026,78.8352,1.0283
67,548864,2517,602.47,911.02,15.52,0.0024,57.3406,1.1203
68,557056,2522,613.58,907.88,48.22,-0.0012,56.6985,1.1190
69,565248,2523,624.64,904.91,128.23,0.0003,41.6645,1.1194
70,573440,2525,636.32,901.19,55.42,0.0031,56.8607,1.1278
71,581632,2532,646.72,899.36,48.36,-0.0029,78.9383,1.0571
72,589824,2537,657.23,897.44,17.93,-0.0011,62.3346,1.0953
73,598016,2539,668.61,894.41,152.93,0.0012,51.8007,1.0768
74,606208,2539,680.70,890.56,nan,-0.0015,21.9790,1.1357
75,614400,2540,692.73,886.93,148.52,0.0020,29.3930,1.0674
76,622592,2541,705.02,883.09,49.36,-0.0025,25.5606,1.1294
77,630784,2541,718.06,878.46,nan,-0.0025,15.4055,1.1254
78,638976,2543,729.63,875.75,28.89,0.0011,40.9474,1.0727
79,647168,2543,740.84,873.56,nan,-0.0033,21.2645,1.1244
80,655360,2546,751.07,872.57,11.18,-0.0007,48.7216,1.0454
81,663552,2547,762.47,870.27,61.35,-0.0013,37.5411,1.0065
82,671744,2550,773.70,868.23,32.45,0.0008,43.3757,1.0428
83,679936,2552,785.34,865.78,145.09,-0.0012,45.3396,1.0363
84,688128,2554,796.31,864.14,207.32,-0.0011,28.1831,1.0321
85,696320,2558,807.62,862.19,27.61,0.0026,65.3444,1.0260
86,704512,2562,818.66,860.56,94.04,-0.0012,56.2724,1.0139
87,712704,2563,831.12,857.53,172.24,-0.0036,33.5337,1.0513
88,720896,2567,842.81,855.35,210.50,-0.0030,48.0567,1.0116
89,729088,2568,854.17,853.56,131.58,0.0003,31.4326,1.0630
90,737280,2572,865.21,852.14,71.56,0.0033,65.5808,1.0120
91,745472,2573,877.16,849.87,89.58,0.0010,36.2652,1.0373
92,753664,2574,888.90,847.87,39.92,0.0011,30.4705,1.0131
93,761856,2575,899.44,847.04,-9.10,-0.0010,44.6058,1.0656
94,770048,2578,910.47,845.77,68.57,-0.0009,49.3655,1.0481
95,778240,2578,921.55,844.49,nan,-0.0007,27.7298,1.0444
96,786432,2580,932.10,843.72,28.12,0.0011,42.5681,1.0081
97,794624,2583,943.34,842.35,39.54,0.0015,46.2711,1.0329
98,802816,2595,952.76,842.62,55.15,0.0076,124.4386,0.8426
99,811008,2597,963.64,841.61,336.03,-0.0026,48.5953,0.9754
100,819200,2598,974.20,840.89,186.80,-0.0005,37.4502,0.9780
101,827392,2602,984.73,840.22,163.49,0.0005,63.9243,0.9503
102,835584,2606,995.72,839.18,128.08,-0.0019,51.5579,0.9785
103,843776,2607,1006.19,838.58,157.76,0.0004,28.2841,1.0245
104,851968,2610,1016.23,838.36,203.50,0.0013,47.2944,0.9863
105,860160,2611,1027.41,837.21,-2.21,0.0009,31.0866,1.0232
106,868352,2615,1037.30,837.13,107.22,-0.0009,54.8942,1.0000
107,876544,2616,1047.88,836.49,241.85,0.0009,33.1660,0.9470
108,884736,2621,1057.98,836.25,110.90,0.0003,56.1406,0.9034
109,892928,2625,1067.94,836.12,152.92,-0.0008,73.1159,0.9104
110,901120,2628,1078.59,835.46,200.88,-0.0001,37.9071,0.9539
111,909312,2633,1088.78,835.17,110.08,0.0015,60.3527,0.9191
112,917504,2635,1099.30,834.63,9.65,0.0024,47.4050,0.9417
113,925696,2638,1109.21,834.55,96.30,0.0005,39.2548,0.9447
114,933888,2640,1119.64,834.09,169.73,0.0005,41.2105,0.9508
115,942080,2644,1129.31,834.21,103.32,0.0014,56.6095,0.9121
116,950272,2646,1139.87,833.67,194.81,0.0011,49.9553,0.9161
117,958464,2653,1149.97,833.47,115.88,0.0008,81.0034,0.8514
118,966656,2658,1159.63,833.59,182.47,-0.0004,69.0314,0.8617
119,974848,2661,1169.85,833.31,190.79,-0.0014,56.4646,0.8874
120,983040,2668,1179.73,833.28,116.19,0.0021,74.0006,0.8848
121,991232,2675,1189.28,833.47,66.11,0.0109,88.8181,0.9205
122,999424,2682,1198.91,833.61,79.35,-0.0004,68.6261,0.8910
123,1007616,2686,1209.43,833.13,169.32,-0.0015,72.2484,0.8727
124,1015808,2687,1220.13,832.54,317.85,0.0010,39.4192,0.9576
125,1024000,2693,1230.81,831.97,249.06,-0.0006,71.9391,0.8417
